,sentence,label
29,"WPA2 ile sorun yaşayanlar eğer masaüstü bilgisayarını kablosuz ağ adaptörü ile kablosuz modeme bağlanmaya çalışıyorsa ağ adaptörünün özelliklerinden (Ağ Bağlantılarımdan kablosuz ağ adaptörüne sağ tıklayıp, özellikler menüsünden güvenlik bölümünden) şifrelemeyi WPA2-PSK seçmeliler.",Olumsuz
30,bu ürünü geçen sene almıştım çok fazla kullanmamama rağmen orta ısıtıcısı bozuldu tavsiye etmem,Olumsuz
31,Mukemmel bir ürün kesinlikle alın,Olumlu
32,"Ürünü genellikle oyun oynayan oğlum için aldım. SD kart takılabildiği için hafızayı artırabileceğimi düşünmüştüm. Bu nedenle ürünle birlikte 16 GB de hafıza kartı aldım. Ancak ürünü kullandıkça gördüm ki hafıza kartı, pratikte pek bir işe yaramıyor. Şöyle ki, android uygulamaların hemen hemen hepsi, kurulumda öncelikle telefon hafızasına kuruluyor. Tabletin ayarlar kısmında uygulama taşı diye bir özellik var ama yine android uygulamalarının büyük çoğunluğu hafıza karta taşınamıyor. 8 GB hafızanız dolduğundaki çok çabuk doluyor, yeni uygulama yüklemek için eskilerden silmeniz gerekiyor. Özet olarak 16 GB kart takınca cihaz otomatikman 24 GB olmuyor. O şekilde yapabilmek için ürüne root yapmanız gerekiyor. Benim için hafıza önemliydi ve bu nedenle de ürünü iade ettim. Teşekkürler hepsiburada.com",Olumsuz
33,"Telefonu bir süredir kullanıyorum. Üzerinde bir çizik bilek olmamasına rağmen, konuşurken ekran karardı. Yetkili servis içeriden ekran çatlamış, garanti dışı dedi. Nasıl oldu anlamadım. Hiçbir hasar yok darbe yok, görünmeyen bir yerde ekran çatlıyor, ilginç.",Olumsuz
34,"Berbat bir dizayn. Her yerinde açıklık var, aldığı havanını yarısını
içeri verir. Berbat kötü.",Olumsuz
35,tost yaparken kasar peynirini tam eritmiyor,Olumsuz
36,"Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada",Olumlu
37,İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,Olumlu
38,Bileşenlerin hepsi 2000li yıllardan kalma tavsiye etmem,Olumsuz
39,"Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo
ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza için
değerli bir para.",Olumsuz
40,"Teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı.İnternetten almada terettüt etmiştim ama sıkıntı yaşamadım, cihaz 2 yıl Apple  Türkiye garantıli, tavsiye ederim.",Olumlu
41,"guzel urun, keske gri metal renkli olsaydi sapi daha guzel olurdu, siyah
cikti, bundan haric urun guzel. tesekkurler",Olumlu
42,3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz daha hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl  TV kumandasina ozen gosteyirsaniz buda öyle. bu süpürgenin bir üst modelini anneme aldık gece mavisi olani şu LED'li olan.almaz olaydik berbat.. çekmiyor ve çok çok hassas halıya yapismiyor bile cektimi çekmedi ki  diye süpürgenin yüzüne bakıyoruz kendine hayrı yok.,Olumlu
43,ürün tam istediğim gibi değil ama idare eder.pişirme süresi baya uzun oldu aynı yağla tencerede yapsanız daha çabuk olurdu.,Olumsuz
44,fiyatı da kullanısı da cok iyi,Olumlu
45,Firma farklı ürün gönderdi. eksi not....,Olumsuz
46,Daha öncede uzun süre kullandığım bir ürün,Olumlu
47,bugün ilk defa kullanıldı.  ilk izlenim mükemmel olduğu yönünde.,Olumlu
48,İşletim sistemini kurup güncellemeleri aldığımda bozuldu.,Olumsuz
49,"Birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu. Size farklı pişirme seçenekleri sunuyor. Üstelik temizlemesi de bir o kadar kolay, herkese tavsiye ederim.",Olumlu
50,Şipariş ettiğim gün elime ulaştı.ancak sesi çok beğenmedim.,Olumsuz
51,"Pratik, güzel bir ürün. Çekiş gücü gayet iyi. Benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor. Tek handikapı B sınıfı olması, o konuda takıntılı olduğum için 4 puan veriyorum.",Olumlu
52,Ürün garantiye gitti geldi şuan için memnunum ancak mağaza berbat,Olumsuz
53,HAYIR BEĞENMEDİM BOZULDU VE TELEFONU KALDIRMIYORLAR,Olumsuz
54,1 GÜNDE ELİME ULAŞTI Bİ KAÇ GÜN KULANIDIKTAN SONRA YORUM YAPMAK İSTEDİM.GERÇEKTEN ŞIK BİR TELEFON DAHA ÖNCE LG G5 KULLANIYORDUM MEMNUNUM ÖNERİRİM.,Olumlu
55,"Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz.
Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük
ambalajlı ürün göndermiş.",Olumsuz
56,Görüntü olarak gayet güzel bir ürün. Ama çaydanlık kısmı tam oturmadığı için iade edeceğim malesef...,Olumsuz
57,"Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3
haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve
gelmeye niyetleri yok arıyorum her defasında ""yoğunduk gelemedik,
unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar
verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :))))",Olumsuz
58,Plastik yazıyor ama plastik değil sanırım dimi her yer de çelik yazıyor siz de plastik aldım ama şüpheye düştüm,Olumsuz
59,Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,Olumlu
60,Olumlu yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor,Olumlu
61,Patatesi bilmem ama köfteyi şahane yapıyo 👍,Olumlu
62,eh güzel orta dereceli,Olumlu
63,"Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok
ortada. Alın size yorum.",Olumsuz
64,"Ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :)",Olumlu
65,"basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem",Olumsuz
66,Ürün elime gayet hızlı ulaştı. Fiyatına göre kullanışlı iyi bir ürün,Olumlu
67,"Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen..
Kesinlikle kötü, para ekleyip başka bir model alın elinize kalır bu tablet !!",Olumsuz
68,Çok çok güzel bayıldım,Olumlu
69,Fatura yok paketleme iyi değil,Olumsuz
70,Güzel ürün çok memnunum,Olumlu
71,Kesinlikle beğenmedim,Olumsuz
72,"hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek
yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum,",Olumsuz
73,"Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı",Olumlu
74,"urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun",Olumlu
75,"2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha ıyı olabilirdir.tavsiye olunur...",Olumlu
76,"Umduğum gibi çıkmadı,reistansı kısa sürede bozuldu.",Olumsuz
77,HİZLİ KARGO GUVENİLİR SATİCİ TAVSİYE EDERİM,Olumlu
78,Henüz kullanmadım ama paketleme gayet iyiydi. Tatilde eşarplarımı ütülemek için aldım memnun kalacağımı düşünüyorum.,Olumlu
79,İyi değil pahalı,Olumsuz
80,"Ürün dün elime ulaştı, ürünün çekim gücü güzel, el süpürgesi olarak da kullanılabilmesi büyük bir avantaj, kullanırken keyif alacağınız hafif ve ergonomik bir ürün... tavsiye ederim...",Olumlu
81,"Bu aletle ilgili iyi bir tarafı var diyemeyeceğim ne yazık ki!1-Aşırı gürültülü eski teknoloji dizel motor gibi...2-Ürünü yapanlar hiç test etmediler galiba Türk milleti nasılsa anlamaz demiş olmalılar ki kapağa uyduruk bir silikon monte etmişler.Hazneye sadece 1/2 çay bardağı sıvı koyduğunuzda bile tezgahınızda batmadık yer kalmıyor.2-çok çabuk ısınıyor.4-Doğrama kabiliyeti rezalet.Neticede beş para etmez bir ürün,nasıl aldanıp ta aldım kendime çok kızıyorum....Bu ürünü beğenen varsa daha önce gerçek bir doğrayıcı kullanmamıştır,",Olumsuz
82,"Ürün, çalışan bayanlar için çok pratik.",Olumlu
83,leomanya satıcısından aldığım ürünler 10 günde minik bi kolide geldi süreyi gözardı edersek benim hoşlanmadığım durum kolinin içindekilerin eşek kadar kolinin üzerine yapıştırılması işyerine söylediğim için siparişi bu durum rahatsız edici benim açımdan bu konuya satıcıların dikkat etmesi gerekiyor bence.,Olumsuz
84,Güzel  ilgileniyorlar.,Olumsuz
85,phone 6 s 32 gb. ürunü beğendim.Tavsiye ederim.,Olumlu
86,Hem fiyat açısından trendyoldan daha uyguna aldım hem de harikalar yaratan bir ürüne sahip oldum,Olumlu
87,Olumsuz yönleri: BİRAZ ÇALIŞTIRINCA MOTOR KOKU YAPIYOR,Olumsuz
88,İnternet sitenizden Philips televizyon aldım.Böyle bir yanlışlık nasıl yapılır bilmiyorum ama bana ÇİM biçme makinası göndermişsiniz.İlgili arkadaşlara teşekkürler....,Olumsuz
89,Fena değil. Fanı çalışmıyor. Yazıldığı gibi değil.,Olumsuz
90,"bu fıyata bu ürüne değmez. sakın aldanmayın.....buz kırcağı zaman sarsılıyor. sulu gıdalar örn: corba, krema, pankek harçı vs  kapağından dışarı sızıyor, her yeri batırıyor kendini batırdığı gıbı tezgahı da berbat ediyor. tek doğrama işini beceriyor ....... foto da guzel gorunuyor ama plastik.   Berbat.!!!",Olumsuz
91,"Ürünü çeyizim için aldım 1 günde elime ulaştı paketlemesi güzel. Denerken kapağı oturmuyormuş gibi oldu ama çevirmek gerekiyor şimdilik bir sorun yok, üretici firmaya teşekkürler.",Olumlu
92,Touchpedi 3 metreden bile çalışmıyor verdiğim paraya yazik oldu. hızlı kargo ve paketlemesi sağlamdı,Olumsuz
93,"indirimde almıştım,  ceyiz olarak, beğendim.",Olumlu
94,Sakın almayın laptoptan daha güzel ses çıkıyor iade etmeye çalışıyorum edilmiyor bunlar resmen kandırıyorlar insanları. Ses ayarı var yazmışlar üründe ses tuşu falan da yok.,Olumsuz
95,"Izgaraları kesinlikle yapışma yapmıyor, kısa sürede ısıtıyor. Çok memnun kaldım.",Olumlu
96,"ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım için iade
edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs
sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...",Olumsuz
97,"kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri, fotoğraf çekebilecekleri, whatsapp'da yazışabilecekleri, candy crush oynayabilecekleri,  navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu, benim hanım bu konuda daha güvenilir"") bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor, arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin, parasının telefonu.",Olumlu
98,"Biraz küçük ama işimizi görüyor, alınabilir",Olumlu
99,Bilgisayar ilk geldiğinde içeriğinde kendi işletim sistemimizi yüklemeye yardımcı olacak bir yapıdaydı ve işletim sistemini ayarlama işlemini çok kalaylaştırmıştı. Bu açıdan takdir edilebilir fakat tüm kurulumları yapıp sistemi hazır hale getirdikten sonra sadece 3 hafta çalışabildi. 3. haftasında bilgisayar tamamen çöp haline geldi. Enerji verdiğimiz halde monitöre hiçbir sinyal gelmiyordu ve artık bilgisayar kullnılamaz durumda. Email hesaplarından da satıcıya ulaşamıyoruz. Ucuz etin yahnisi misali hurdalıkta duruyor şimdi. Bize ders oldu.,Olumsuz
100,Hayır. Saglam değildi veya düzgün paketlenmedi.,Olumsuz
101,"Ürün sağlam, teslimat hızlı",Olumlu
102,"ürün anlatıldığı gibi ve paketleme kargo hepsi çok güzeldi. güzel ürün
tavsiye edilir.",Olumlu
103,"5 yildir kullaniyorum bu aldigim 2 ci supurge makinasi .
torbali supurge makinasi kullaniyorum ama arnica bora su filtreli makinanin yerini  tutmuyor toz moz birakmiyor cook guzel bu makinayi uretenlere tesekkur ederim elleri dert gormesin....",Olumlu
104,Şekil veremiyorsunuz ama mat görüntüsü var kesinlikle gün icinde hafif bir rüzgarda saçlarınız dağılacaktır,Olumsuz
105,Berbat ötesi bir fırın yeni evlendim aldım çok şık duruyordu e marka güzel güvenerek aldım pişman oldum😏 zırt pırt duruyor çok çok geç pişiriyor illALLAH ettik eşimle ben. Şuan bende elden çıkarıyorum bir siteye koydum yerinede TERMİKEL süper ötesi fırını aldı canım annem ve babam ALLAH razı olsun onlardan ve bu fırını yapanlardan. İşte bu dedirtti bize canavar resmen canavar 😍😍😍,Olumsuz
106,"Şimdi ürünü sipariş ettikten baya uzun bi süre sonra elime ulaştı yaklaşık 8 gün kargo kısmı biraz kötü.
Ürüne gelirsek 2+1 speaker ama ana hoparlör yani resmin ortasındaki hoparlör hiç iyi değil özellikle bassı hiç beyenmedim.Sesi çok açınca çok cızırtılı ses çıkıyor ama diğer küçük hoparlörlerden memnunum.Kısacası almanızı pek tavsiye etmem.Bu paraya hiç deymez bunun yerine aynı fiyata 1+1 alın en azından daha iyi perfornmans alırsınız.Saygılar...",Olumsuz
107,idare eder,Olumsuz
108,Olumlu yönleri: Tesekkur,Olumlu
109,Güzel sadece çok fazla ses çıkartıyor,Olumlu
110,tesekur ederim elinize sağlık hızlı kargo ürün güzel ve sessiz çalışıyor,Olumlu
111,Ses kalitesi kötü boğuk bir ses geliyor 30 liraya değer :(,Olumsuz
112,"Ürün elime biraz önce geçti. Açıkcası ilk başta sipariş verirken biraz ikilemde kalmıştım. Ama şuanda iyi bir karar verdiğimi anladım. Sızdırmayla ilgili çok fazla yorum vardı. Bende herhangi bir sızdırma olayı olmadı. Çayı ve suyu gayet sıcak tutuyor,bu yönü gerçekten çok hoşuma gitti. Işıklandırmasıda bence güzel ve şık duruyor. Almayı düşünenlere tavsiye ederim. Fiyatı da normale ve kalitesine göre gayet uygun.",Olumlu
113,ürün on numara güzel.,Olumlu
114,Ses kalitesi iyi ama ürün orjinal değil,Olumsuz
115,"Ürün güzel, tavsiye ederim.",Olumlu
116,Ürünü  3gunde  geldi beğendim hepsi burda ya teşekkürler samsung anlatmaya gerek yok,Olumlu
117,ürün az önce elime geçti buradan aldım kargoyu zamanında yolladıkları için teşekkür ediyorum ama ürün hayal kırıklığı çok pişman oldum malzeme kalitesi bana göre iyi değil çekiş gücü süpürdüğünü bile farketmiyorum diyeceğim kadar komşumun 1200w süpürgesi bundan güzel çektiğini söyleyebilirim yorumlara bakarak ürünümün arızalı oldugunu bile düşünüyorum ama yinede tavsiye etmiyorum,Olumsuz
118,Cok kullanışlı degil,Olumsuz
119,Çok kullanışlı .5 dakikada çay hazır😊,Olumlu
120,Tavuk gibi yolunmak isteyenlerin bir  numaralı tercihi. mafetti beni,Olumsuz
121,"Benim oğlum 6 yasında ben oğlum için almak istiyorum ama bir sorum var cevaplayan biri olursa sevinirim 
Biz köydeyiz ve oğlum teyzelerine halalarına arkadaşlarına kendi gidiyor orda oyun oynuyor sadece nerde olduğunu öğrenmek için bu bilekliği istiyorum yani oğlumu arayabiliyormuyum bileklik kolunda olduğunda ve  nasıl kartmı takılıyor",Olumsuz
122,"2 gün önce sipariş verdim bu gün elime geçti,Başta hepsi buarada olmak üzere ürünü gönderen FEMAR ELEK.EV ALETLERİ fimasına ve nakliyesinde emeği geçen MNG kargo çalışanlarına yürekten teşekkür ediyorum.siparişim tam,sağlam ve sorunsuz olarak teslim edildi.süpürgeyi hemen açıp denedik, emiş gücü şahane, sesi ise eski süpürgeye oranla bayağı sessiz, toz haznesinin 2,5 lt. olması avantaj kolay kolay dolmuyor,görselliği ise bambaşka yani uzun lafın kısası ben memnun kaldım,alacak olanlara tavsiye ederim,ilerisiniiii yaşayıp kullanıp görecez,EEEE artık ,5 YILDIZ VERMEZSEM HAKSIZLIK OLUR.",Olumlu
123,"Aldığım mor şampuanın kapağı kırılmış ve neredeyse yarışı dokulu şekilde
gelmiş",Olumsuz
124,Ürün çok kaliteli eşim için aldim tavsiye ederim,Olumlu
125,"umduğum gibi çıkmadı radyosu hiç çekmiyo basit radyolar bile bundan
güzel çekiyo  hayal kırıklığı bu kadarını beklemiyordum bu paraya değmez",Olumsuz
126,Ürünü kullandım gayet memnunum,Olumlu
127,Ürün cok kotu.kargo isi bir felaket hic bulasmayin.15 gunde zor geldi.davlumbaz kumandali degil ama icinden kumanda cikti.,Olumsuz
128,Schafer kahvecim gelcek A101e  kullanan varmı  nasıl  köpüklü çikariyormu yardımcı olur musunuz,Olumsuz
129,Beğenmedim su akıtıyor,Olumsuz
130,Olumsuz yönleri: Aynı gün kargoya veriliyor evet ama on gündür hâlâ gelmedi..  bilgilendirme çok eksik. gelmeden iade ettik.,Olumsuz
131,"kagıt gibi sacı var  çok kalitesiz mazleme  görüntü amaçlı sadece iş
görecek gibi degil",Olumsuz
132,Urun cok cabuk bozuluyor tavsiye etmem hatta arzumun ömrü 3 yıl tost makinesi rondo set su ısıtıcı kahvecmakinesi ne aldıysam bozuldu,Olumsuz
133,güzel paketleme.üründe hata yok.tavsiye ederim.,Olumlu
134,"Olumlu yönleri: şarjı çok iyi deyil

Olumsuz yönleri: bazi uygulaması yazı çok güzel görünmüyor",Olumsuz
135,"Olumsuz yönleri: AKAKÇE den aldığım mesajda 146,90 TL Ücretsiz kargo yazıyor Üzerine tıkladığımda 218,00TL Fiyat.",Olumsuz
136,Kargo hızlı ürün kaliteli 👍,Olumlu
137,"10 dakika çalıştırdık, yorumlarda anlatılandan sonra beklediğim
sessizlikte değil.  çok iyi toz alıyor. hafif halılara öyle bir
yapışıyor ki, hareket ettirmek çok zor, nasıl temizleyeceğiz biz bu
hafif halıları?",Olumlu
138,Çok pratik tatil için 👍🏻,Olumlu
139,Bir marketten 2 adet Powerway marka 16gb usb bellek aldım bir tanesinden oldukça memnunum ancak diğeri aldığım günden beri sorunlu. Bilgisayarımın usb girişine takıyorum ses geliyor ancak bilgisayarımda görünmüyor. form sitelerinde bahsedilen yolların hepsini denedim ama çözüm bulamadım. ha neden iade etmedin diye bir soru gelirse alışveriş fişini bulamadım bu sebeple iade edemedim.,Olumsuz
140,Ürünün kuvveti az bu sebeple bir şey sıkacaksanız biraz uzun sürebilir çok yavaş iade ettim bu sebeple,Olumsuz
141,Hızlı kargo. Çekim gücü çok güzel. Umarım ilerleyen zamanlarda gücü düşmez,Olumlu
142,Hızlı deyil....,Olumsuz
143,Bu ürünü farklı bi siteden almıştım. Kesinlikle tavsiye etmem. Çok kalitesiz bi ürün. Plastiği sıcaktan eriyor. Izgarasının kulpu kırıldı✍🏾. Düğmesi bozuldu. Kısaca çöp oldu,Olumsuz
144,açma kapama tuşu kötü su koyulacak yer çok dar tutacak bükülmediğinden su koymak zor ş süs için yapılmış kullanısli degil,Olumsuz
145,"Buharı çok iyi, kırışık azaltması çok etkili. Tavsiye ediyorum. Pişman etmeyen bir ürün.",Olumlu
146,Ürünü aldım ve kullanıyorum çok ses yapıyor birçok özellik yazmışlar süslemişler ama bu parayı hak etmiyor almayın tavsiye etmiyor salonun bir köşesinde süs niyetine durucak.,Olumsuz
147,Olumlu yönleri: mutfakta bir kenarda  el altında olması  hayatımı kolaylaştırdı..ince halımı havaya kaldıracak kadar güçlü. öncesinde de anneme hediye almıştım o da memnun kaldı. haznesi doldukça boşaltıyorum. hiçbir sorun yaşamadım.,Olumlu
148,"En son ayarda çalıştırmama rağmen yağ yeterince ısınmıyor ve patates yağ
çekiyor.ayrıca ürün faturası da yok.",Olumsuz
149,"Klavye çalışıyor. Fakat mouse bozuk çıktı. Ne yaptıysam çalışmıyor.
Ayrıca hediye mouse pad kat kat kırışmış. İşlevselliğini kaybetmiş.
Ayrıca mouse pad hiç göndermeseniz daha iyiymiş. Hayatımda bu kadar
dandik birşey görmedim. Ciddi anlamda parasını haketmiyor. Sırf klavye
lazım diye iade etmedim. Ama kesinlikle ne ürünü ne de bu mağazayı
önermiyorum. Hayal kırıklığı...",Olumsuz
150,çok başarısız bir ürün hiç memnun değilim,Olumsuz
151,ürünü boş kutunun içine koymuşlar savrulmuş da savrulmuş insan biraz düzgün paketler sabitler taaa 1500 km gelecek malzemeye değer vererek kargolar,Olumsuz
152,çok hızlı teslimat ve mükemmel bir ürün teşekkürler 👏,Olumlu
153,evet çok güzel çok iyi,Olumlu
154,Daha fazla paraya gerek yok. Memnun etti. Harika,Olumlu
155,"harika bir ürün, kesinlikle tavsiye ederim :)",Olumlu
156,06.06.2018 de ürünü sipariş ettim Tahmini kargoya veriliş tarihi 08.06.2018 olmasına rağmen bugün 12.06.2018 ve ürün hala gelmedi. Birdaha Bestkalite den ürün almak mı aslaaaaa..,Olumsuz
157,Çok ucuza aldığımı düşünüyorum çok teşekkürler media markt,Olumlu
158,kaliteli bir ürün,Olumlu
159,evet beğendim oneririm,Olumlu
160,"ürünü 6 ay önce anneme aldım arada bende kullandim ve uzun süreli kullanım sonrasi kesinlikle tavsiye ederim. kaliteli malzeme, mükemmel taban ve kolay kullanimiyla çok rahat bir ütü",Olumlu
161,"Siyah renk davlumbaz bacası çizik geldi.Siyah renk üzerinde beyaz çizik
net şekilde belli oluyor bu yüzden bacasız kullanıyorum. Mağaza ile
birkaç kez iletişim kurdum, fabrikadan gönderileceğini söylediler ama
hiç gelmedi. 1 ayı aşkın süredir arayan soran da yok. Kısacası ne yazık
ki ilgisiz mağaza.",Olumsuz
162,24 saat olmadan elime ulaştı Kargo paketleme çok özenliydi tavsiye üzerine aldım performansından memnun kalacağıma eminim :),Olumlu
163,Güzel cekis gucu bu fiyata göre harika malzemesj d ekaliteli sağlam tavsiye ederim tek kotu yani torbalı olması,Olumlu
164,evet çok güzel beğendim teşekkürler,Olumlu
165,Rengi hariç güzeldi,Olumsuz
166,"Bi lerce kez pişmanım
Çay sıcak Bi içecek
Maalesef her yeni çay doldurmak istediğimizde başına gidip düğmeyi kaldır ve kaynamasın bekle
Müşteri hizmetleri Seda hanım bide bize ders verdi ne alacağınızı kontrol etmeliydi iz diye
Kartlı mı termostatlı mı bakmalıymışım alırken
Yerli ürün desteklemek mi 
Bir daha aslaaaaaaaaaa",Olumsuz
167,çok güzel açıkçası,Olumlu
168,Olumsuz yönleri: Neden yazmuyosunuz kaç metre olduğunu,Olumsuz
169,"ürünü yorumlara bakarak aldım ama beklentileri karşılanıyor,2 anten
olmasına rağmen arka odalarda hiç çekmiyor",Olumsuz
170,Çekiş gücü çok yüksek olmamasına rağmen iyi temizliyor. Su kabını boşaltmak kolay. Kullanımı pratik. Memnun kaldık.,Olumlu
171,"Ürünü almadan önce yorumları okudum. Sessiz çalışıyor filan yazıyordu. Fakat tamamen hayal kırıklığı. Kesinlikle çok sesli çalışıyor. Sanki 80 model merdaneli çamaşır makinesi aldım onu kullanıyorum. Çamaşır makinem sıkma programında bile bu kadar ses çıkarmıyor.  Mutfağım ayrı salonumda tv sesi açıkken bile salonun mutfağa en uzak mesafesinde çalışma sesini su alma sesini , su fışkırtan pervanelerin dönem sesini Çok net yanındaymışsın gibi duyuyorum. Keşke burada ses kaydı gönderme özelliği olsa da şuanda çalışma sesini gönderebilsem.Bide kurutması çok kötü.kesinlikle kurutmuyor. sepette damlacıklar kalırmış. önce alt sepeti boşaltıp sonra üst sepeti boşaltmam gerekmiş falan filan. Sanki ilk defa bulaşık makinesi kullanıyoruz. tamamen saçmalık. Servis geldiğinde de bu sesin normal olduğunu iddia ediyor. kurutma içinde yukarıda yazdığım Şeyleri söylediler. Cidden şaka gibi bir makine. Kesinlikle tavsiye etmiyorum. Bu bulaşık makinesi BÜYÜK BİR PİŞMANLIKTIR.",Olumsuz
172,Kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün. Ne kızartırsanız kızartın sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz. Gerçekten tavsiye edebileceğim bir ürün :),Olumlu
173,Jabra markasına 2 amazzon'a 5 yıldız Ses harika kullanım güzel Ama sürekli sol kulaklık bağlantı surunu var sağ kulaklık sol kulaklıkla bir senkronize olamıyor bu gerçekten problem her manyetik alan ve etraftan etkileniyor farklı mekan ve durumlarda bir gün sürekli denedim ama olmadı istemeyerek iade ettimamazzon markasına gelince bu alışverişimde ve iade de her konuda müşteriden yana olduğunu dile getirdiler yani ben görmediğim ilgi ve alakayı başka bir firmada görmedim ben bu ürünü indirimli fiyattan almıştım şuan artmış ama eğer tekrar almayı düşünürsem o fiyattan almayı taahhüt ettiler Teşekkürler AMAZON Takdir ve Tebrik ediyorum sizi,Olumsuz
